기준년월,시군구명,시군구코드,소득2천만원주민비율,소득3천만원주민비율,소득4천만원주민비율,소득5천만원주민비율,소득6천만원주민비율,소득7천만원주민비율,소득7천만원이상주민비율
202308,서울특별시 강남구,11680,0.09,0.28,0.21,0.13,0.07,0.05,0.18
202308,서울특별시 강동구,11740,0.1,0.34,0.26,0.13,0.06,0.04,0.08
202308,서울특별시 강북구,11305,0.14,0.41,0.25,0.1,0.04,0.02,0.03
202308,서울특별시 강서구,11500,0.11,0.34,0.26,0.13,0.06,0.04,0.07
202308,서울특별시 관악구,11620,0.12,0.4,0.26,0.11,0.05,0.02,0.04
202308,서울특별시 광진구,11215,0.13,0.38,0.24,0.11,0.05,0.03,0.06
202308,서울특별시 구로구,11530,0.13,0.39,0.24,0.11,0.05,0.03,0.05
202308,서울특별시 금천구,11545,0.14,0.41,0.25,0.11,0.05,0.02,0.03
202308,서울특별시 노원구,11350,0.13,0.34,0.25,0.12,0.06,0.03,0.06
202308,서울특별시 도봉구,11320,0.13,0.37,0.26,0.11,0.05,0.03,0.04
202308,서울특별시 동대문구,11230,0.16,0.4,0.22,0.1,0.05,0.03,0.05
202308,서울특별시 동작구,11590,0.12,0.35,0.24,0.12,0.06,0.03,0.08
202308,서울특별시 마포구,11440,0.12,0.34,0.23,0.12,0.06,0.04,0.1
202308,서울특별시 서대문구,11410,0.14,0.38,0.22,0.11,0.05,0.03,0.07
202308,서울특별시 서초구,11650,0.08,0.27,0.22,0.13,0.08,0.05,0.18
202308,서울특별시 성동구,11200,0.11,0.35,0.23,0.12,0.06,0.04,0.1
202308,서울특별시 성북구,11290,0.15,0.37,0.23,0.11,0.05,0.03,0.06
202308,서울특별시 송파구,11710,0.09,0.3,0.25,0.13,0.07,0.04,0.12
202308,서울특별시 양천구,11470,0.11,0.32,0.24,0.12,0.06,0.04,0.11
202308,서울특별시 영등포구,11560,0.12,0.38,0.23,0.11,0.06,0.03,0.08
202308,서울특별시 용산구,11170,0.11,0.36,0.22,0.12,0.06,0.04,0.1
202308,서울특별시 은평구,11380,0.12,0.36,0.26,0.12,0.06,0.03,0.05
202308,서울특별시 종로구,11110,0.15,0.39,0.21,0.1,0.05,0.03,0.07
202308,서울특별시 중구,11140,0.15,0.4,0.2,0.1,0.05,0.03,0.06
202308,서울특별시 중랑구,11260,0.12,0.39,0.27,0.11,0.05,0.02,0.03
