지역,합계,20대 미만 비율,20-30대 비율,40-50대 비율,60-70대 비율,80대 이상 비율
종로구,152212,11.36,32.06,30.25,21.36,4.97
중구,131390,10.06,33.13,29.63,22.32,4.86
용산구,232482,12.19,32.3,31.22,19.81,4.48
성동구,287240,12.84,31.93,30.77,20.54,3.92
광진구,350925,11.89,35.13,29.89,19.66,3.42
동대문구,354884,11.92,33.53,28.73,21.51,4.31
중랑구,389928,11.63,28.67,31.14,24.42,4.13
성북구,441855,14.17,29.76,31.1,20.64,4.33
강북구,296934,11.04,26.15,31.41,26.05,5.35
도봉구,312858,12.32,25.02,31.68,25.87,5.11
노원구,506989,15.2,26.05,32.47,21.95,4.33
은평구,468766,13.13,27.7,31.81,22.81,4.55
서대문구,321966,13.05,32.23,29.87,20.25,4.61
마포구,376542,13.17,34.73,30.69,17.55,3.85
양천구,442345,16.97,24.63,33.93,21.21,3.27
강서구,573711,13.28,31.63,30.16,21.43,3.5
구로구,417983,13.05,28.53,31.66,23.0,3.76
금천구,242467,10.34,31.67,30.84,23.42,3.72
영등포구,398999,12.2,33.48,30.27,20.26,3.79
동작구,390377,12.37,33.31,29.47,20.83,4.03
관악구,502628,8.97,41.07,26.56,19.77,3.63
서초구,408979,18.04,26.49,33.72,18.55,3.2
강남구,537817,17.34,27.34,33.86,18.4,3.06
송파구,663704,15.65,29.28,31.8,20.33,2.93
강동구,464027,15.43,27.59,31.69,22.15,3.14
